epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,1139.07,2.02404,3.68256,1.47563,1.52888,0,0.28783,0.37439,0.28236,0.11342,0.25686,0.31395,0.23914,0.08091,2.13945,3.86724,1.72607,1.6706,0,0.00172676,0.00172676,0.00172676
71,1180.93,1.94224,3.56276,1.49049,1.52198,0,0.27732,0.35271,0.27017,0.11105,0.27612,0.24031,0.23033,0.08069,2.23732,3.89682,1.73885,1.74123,0,0.0017228,0.0017228,0.0017228
72,1195.56,2.02498,3.64573,1.52971,1.5343,0,0.24466,0.24806,0.18005,0.07284,0.2179,0.22093,0.15341,0.05255,2.2247,4.02919,1.87613,1.72494,0,0.00171884,0.00171884,0.00171884
73,1252.12,2.06652,3.74712,1.5893,1.58378,0,0.23074,0.25581,0.18726,0.0732,0.24596,0.15891,0.14934,0.04973,2.22435,4.13987,1.96541,1.76545,0,0.00171488,0.00171488,0.00171488
74,1267.55,2.07483,3.64437,1.53866,1.5571,0,0.41783,0.36164,0.31073,0.11665,0.39096,0.33838,0.28028,0.08162,2.18585,3.9529,1.67235,1.72312,0,0.00171092,0.00171092,0.00171092
75,1289.48,2.00711,3.54018,1.46524,1.52533,0,0.34336,0.35659,0.28596,0.11922,0.31971,0.30233,0.23842,0.08528,2.08239,3.79631,1.66736,1.65991,0,0.00170696,0.00170696,0.00170696
76,1305.12,1.98831,3.5703,1.55413,1.56214,0,0.33625,0.32171,0.27429,0.09285,0.3018,0.29823,0.23198,0.06654,2.35032,4.29441,1.99576,1.87743,0,0.001703,0.001703,0.001703
77,1320.72,2.03374,3.60715,1.46174,1.51819,0,0.30262,0.27907,0.20747,0.07307,0.27305,0.25581,0.17384,0.04948,2.44291,4.46235,2.16233,1.97455,0,0.00169904,0.00169904,0.00169904
78,1334.9,2.01242,3.64189,1.50264,1.58332,0,0.27634,0.36047,0.26372,0.10494,0.25795,0.31783,0.22378,0.06901,2.23994,3.96556,1.75216,1.74415,0,0.00169508,0.00169508,0.00169508
79,1350.59,1.99273,3.55986,1.42801,1.49757,0,0.29324,0.31682,0.25218,0.09733,0.26494,0.24419,0.20102,0.0705,2.22842,3.88161,1.75496,1.73983,0,0.00169112,0.00169112,0.00169112
80,1382.18,2.08284,3.68104,1.54008,1.58641,0,0.41616,0.34812,0.31747,0.12846,0.40934,0.33846,0.29556,0.09608,2.16716,3.8393,1.63297,1.70332,0,0.00168716,0.00168716,0.00168716
81,1439.42,2.03966,3.62242,1.48836,1.56493,0,0.43046,0.31008,0.32206,0.12589,0.40972,0.29863,0.28453,0.09413,2.18466,3.86012,1.65145,1.69409,0,0.0016832,0.0016832,0.0016832
82,1454.31,1.98766,3.51172,1.43425,1.51641,0,0.30528,0.33721,0.26849,0.11217,0.27115,0.28682,0.22956,0.08007,2.08723,3.73517,1.71727,1.65672,0,0.00167924,0.00167924,0.00167924
83,1468.78,1.97265,3.57958,1.49574,1.53119,0,0.279,0.33333,0.25103,0.10168,0.29504,0.31008,0.2294,0.07667,2.07275,3.76726,1.79132,1.61872,0,0.00167528,0.00167528,0.00167528
84,1486.63,2.0031,3.57529,1.49751,1.51613,0,0.28362,0.31783,0.23492,0.08826,0.26606,0.2907,0.20866,0.07075,2.18249,3.77904,1.81187,1.70128,0,0.00167132,0.00167132,0.00167132
85,1505.26,1.94984,3.51544,1.43657,1.49926,0,0.37798,0.34109,0.30047,0.12169,0.34473,0.31008,0.25366,0.09732,2.08423,3.72053,1.66722,1.63259,0,0.00166736,0.00166736,0.00166736
86,1521.74,1.9471,3.48122,1.49205,1.53736,0,0.32955,0.32558,0.26228,0.10983,0.3138,0.29457,0.2318,0.08299,2.12665,3.79457,1.7524,1.69419,0,0.0016634,0.0016634,0.0016634
87,1535.88,1.99855,3.5233,1.45279,1.50149,0,0.34777,0.36434,0.30199,0.11192,0.32268,0.33607,0.25967,0.07787,2.18108,3.83057,1.72291,1.70005,0,0.00165944,0.00165944,0.00165944
88,1549.94,1.97792,3.47377,1.4425,1.46604,0,0.31329,0.34659,0.24905,0.0935,0.30367,0.32558,0.21127,0.06858,2.17361,3.79126,1.72007,1.69517,0,0.00165548,0.00165548,0.00165548
89,1563.69,2.00679,3.56718,1.46539,1.53315,0,0.31743,0.34109,0.2771,0.1024,0.303,0.32558,0.24221,0.07807,2.13358,3.82597,1.68417,1.68514,0,0.00165152,0.00165152,0.00165152
90,1577.91,1.93035,3.49609,1.43502,1.51902,0,0.38389,0.43411,0.33826,0.13052,0.36063,0.36434,0.29449,0.09308,2.07833,3.85092,1.60716,1.65773,0,0.00164756,0.00164756,0.00164756
91,1598.56,1.94565,3.4675,1.48464,1.55394,0,0.28736,0.34884,0.24308,0.09882,0.29011,0.32171,0.21312,0.07288,2.09046,3.85129,1.73005,1.6691,0,0.0016436,0.0016436,0.0016436
92,1614.85,1.91835,3.43685,1.39874,1.49815,0,0.26501,0.34496,0.2014,0.0709,0.24267,0.31395,0.16646,0.04918,2.20918,3.94055,1.85143,1.70496,0,0.00163964,0.00163964,0.00163964
93,1632.33,1.97959,3.5413,1.41322,1.48748,0,0.27181,0.32946,0.21856,0.07999,0.25703,0.29845,0.19198,0.05716,2.15201,3.86134,1.8036,1.69481,0,0.00163568,0.00163568,0.00163568
94,1646.21,1.89027,3.36435,1.38458,1.51738,0,0.31755,0.34884,0.27829,0.11066,0.3102,0.32558,0.24757,0.08161,2.1344,3.83531,1.65391,1.72789,0,0.00163172,0.00163172,0.00163172
95,1660.7,1.92559,3.47331,1.40969,1.52368,0,0.33546,0.39524,0.29533,0.10456,0.35351,0.34884,0.25919,0.07638,2.14219,3.86388,1.64036,1.69466,0,0.00162776,0.00162776,0.00162776
96,1675.32,1.88807,3.40101,1.37617,1.47962,0,0.24352,0.35271,0.18769,0.06891,0.2193,0.31008,0.16168,0.051,2.22015,3.81394,1.78407,1.70162,0,0.0016238,0.0016238,0.0016238
97,1693.91,1.95187,3.53813,1.41123,1.52165,0,0.33609,0.37478,0.29348,0.11084,0.29442,0.34109,0.25548,0.08441,2.19528,3.73115,1.66184,1.69158,0,0.00161984,0.00161984,0.00161984
98,1714.38,1.92429,3.47787,1.41237,1.5046,0,0.3549,0.34884,0.27348,0.11016,0.32587,0.2907,0.2262,0.07858,2.10629,3.77956,1.69521,1.68574,0,0.00161588,0.00161588,0.00161588
99,1781.23,1.95968,3.46662,1.43067,1.4729,0,0.36455,0.3876,0.31754,0.12388,0.3419,0.38461,0.29492,0.08971,2.16139,3.89306,1.67833,1.69487,0,0.00161192,0.00161192,0.00161192
100,1795.6,1.94944,3.41615,1.39227,1.50602,0,0.30349,0.37209,0.24656,0.09203,0.30236,0.29457,0.21041,0.06788,2.19044,3.80134,1.71435,1.74473,0,0.00160796,0.00160796,0.00160796
101,1808.67,1.90198,3.39177,1.3837,1.48363,0,0.3324,0.36434,0.2733,0.10792,0.29063,0.34109,0.24371,0.08432,2.16876,3.71997,1.69599,1.7182,0,0.001604,0.001604,0.001604
102,1825.71,1.97281,3.48074,1.36633,1.46141,0,0.28726,0.3062,0.26245,0.1132,0.21927,0.2907,0.21456,0.0838,2.09509,3.69047,1.73996,1.65525,0,0.00160004,0.00160004,0.00160004
103,1839.39,1.86765,3.36502,1.39147,1.45898,0,0.38558,0.30233,0.29303,0.11461,0.36034,0.2907,0.25792,0.08277,2.21952,3.90864,1.6698,1.70581,0,0.00159608,0.00159608,0.00159608
104,1852.33,1.88925,3.37033,1.38926,1.49565,0,0.34232,0.33333,0.31986,0.12879,0.41858,0.2907,0.28713,0.10223,2.18176,3.86041,1.66786,1.67405,0,0.00159212,0.00159212,0.00159212
105,1866.88,1.95428,3.42974,1.34588,1.45181,0,0.33168,0.36047,0.30187,0.12175,0.36759,0.30233,0.26427,0.09837,2.13278,3.82884,1.6645,1.65605,0,0.00158816,0.00158816,0.00158816
106,1880.18,1.88021,3.40115,1.36967,1.456,0,0.43818,0.36434,0.31828,0.11617,0.41802,0.32171,0.30057,0.09444,2.22505,3.85136,1.6943,1.72345,0,0.0015842,0.0015842,0.0015842
107,1893.19,1.94629,3.43607,1.37203,1.48071,0,0.38497,0.34109,0.27599,0.10558,0.38007,0.31783,0.24185,0.08509,2.19684,3.71896,1.70316,1.73885,0,0.00158024,0.00158024,0.00158024
108,1917.32,1.87387,3.28594,1.33576,1.45144,0,0.32928,0.37209,0.28718,0.10674,0.32145,0.33052,0.26019,0.08812,2.19111,3.76506,1.66382,1.7189,0,0.00157628,0.00157628,0.00157628
109,1938.14,1.91926,3.42867,1.37951,1.49852,0,0.39038,0.27519,0.27366,0.10417,0.39245,0.26357,0.23976,0.0803,2.20582,3.83518,1.72575,1.72547,0,0.00157232,0.00157232,0.00157232
110,1951.56,1.91804,3.39441,1.36523,1.49496,0,0.30673,0.27519,0.23609,0.08404,0.28581,0.25284,0.21205,0.06562,2.23615,4.03934,2.03693,1.77588,0,0.00156836,0.00156836,0.00156836
111,1971.54,1.90474,3.4335,1.46098,1.517,0,0.37166,0.36047,0.31132,0.12016,0.40061,0.35271,0.31641,0.09724,2.12015,3.77035,1.64446,1.67953,0,0.0015644,0.0015644,0.0015644
112,1996.66,1.86264,3.38642,1.37627,1.50711,0,0.392,0.35659,0.31415,0.12504,0.44604,0.30233,0.284,0.09575,2.19895,3.82298,1.60235,1.747,0,0.00156044,0.00156044,0.00156044
113,2022.34,1.87197,3.34572,1.2981,1.45468,0,0.3301,0.3876,0.29885,0.12366,0.36246,0.2907,0.26332,0.09427,2.18214,3.81301,1.61992,1.72844,0,0.00155648,0.00155648,0.00155648
114,2051.29,1.89421,3.37789,1.30949,1.44314,0,0.33756,0.31008,0.26295,0.11336,0.34949,0.26744,0.23557,0.08837,2.10468,3.76065,1.67201,1.68965,0,0.00155252,0.00155252,0.00155252
115,2081.68,1.86326,3.28568,1.23232,1.39682,0,0.3873,0.35271,0.30702,0.11526,0.38897,0.34791,0.29945,0.09652,2.17285,3.83227,1.6338,1.69312,0,0.00154856,0.00154856,0.00154856
116,2107.35,1.92824,3.36822,1.31637,1.49117,0,0.42546,0.38372,0.31197,0.11736,0.39202,0.32946,0.28813,0.08986,2.15713,3.84196,1.63452,1.70361,0,0.0015446,0.0015446,0.0015446
117,2121.85,1.88689,3.37683,1.32009,1.48762,0,0.37777,0.36822,0.30877,0.12235,0.34215,0.31783,0.28265,0.09217,2.15569,3.80034,1.65656,1.70409,0,0.00154064,0.00154064,0.00154064
118,2135.34,1.88934,3.34163,1.35683,1.49623,0,0.29622,0.38337,0.26251,0.10652,0.27387,0.3026,0.21963,0.07875,2.1089,3.72374,1.68752,1.69221,0,0.00153668,0.00153668,0.00153668
119,2148.84,1.81655,3.20663,1.26997,1.43348,0,0.3725,0.36047,0.29921,0.12281,0.35648,0.34496,0.28003,0.09481,2.19911,3.83422,1.61131,1.73276,0,0.00153272,0.00153272,0.00153272
120,2162.19,1.82523,3.21022,1.27436,1.44318,0,0.29119,0.36822,0.24479,0.09637,0.25211,0.3188,0.20738,0.07245,2.17778,3.76836,1.72213,1.72945,0,0.00152876,0.00152876,0.00152876
121,2179.08,1.82075,3.25621,1.3212,1.46389,0,0.27361,0.37209,0.24749,0.09945,0.29158,0.31395,0.22924,0.07851,2.1795,3.73522,1.74971,1.73959,0,0.0015248,0.0015248,0.0015248
122,2200.41,1.85942,3.32382,1.30013,1.46861,0,0.41601,0.3876,0.31934,0.12177,0.37619,0.37209,0.27981,0.09454,2.14445,3.73958,1.64516,1.67472,0,0.00152084,0.00152084,0.00152084
123,2216.98,1.83931,3.3414,1.33708,1.46713,0,0.11157,0.43023,0.07849,0.02972,0.10626,0.36434,0.06993,0.02179,2.18113,4.41001,5.19893,1.77428,0,0.00151688,0.00151688,0.00151688
124,2230.05,1.81938,3.24695,1.32125,1.4415,0,0.33475,0.36822,0.27454,0.11056,0.30082,0.33721,0.24488,0.08383,2.17485,3.7602,1.67498,1.70549,0,0.00151292,0.00151292,0.00151292
