epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,678.523,1.92654,3.44667,1.46204,1.47254,0,0.32848,0.35834,0.2722,0.10205,0.30145,0.26744,0.22134,0.0787,2.21353,3.88251,1.70864,1.68639,0,0.0016337,0.0016337,0.0016337
39,694.006,1.95769,3.40813,1.42115,1.45982,0,0.42721,0.30233,0.30023,0.11796,0.38664,0.28682,0.25921,0.08746,2.14005,3.87402,1.65774,1.62622,0,0.0016238,0.0016238,0.0016238
40,708.125,1.95349,3.34379,1.41435,1.45427,0,0.37739,0.36822,0.28864,0.10642,0.31555,0.31395,0.22772,0.07799,2.21511,3.96988,1.72399,1.6992,0,0.0016139,0.0016139,0.0016139
41,723.525,1.96671,3.43074,1.43668,1.48098,0,0.28198,0.36047,0.25512,0.09329,0.24806,0.31711,0.21317,0.07056,2.2087,3.93008,1.81613,1.70642,0,0.001604,0.001604,0.001604
42,739.676,1.90727,3.38835,1.39042,1.46232,0,0.30776,0.39922,0.28746,0.11294,0.28579,0.35659,0.25612,0.08527,2.11577,3.84176,1.67431,1.65841,0,0.0015941,0.0015941,0.0015941
43,785.848,1.89118,3.34615,1.32719,1.45447,0,0.35053,0.364,0.30056,0.11319,0.33716,0.29377,0.25163,0.07891,2.20034,3.94765,1.67388,1.70518,0,0.0015842,0.0015842,0.0015842
44,805.145,1.96508,3.38222,1.35661,1.44992,0,0.32714,0.34297,0.28137,0.0979,0.3105,0.31783,0.24892,0.07526,2.23935,3.93229,1.70286,1.69793,0,0.0015743,0.0015743,0.0015743
45,818.632,1.98431,3.48752,1.41134,1.49119,0,0.41219,0.30233,0.30594,0.11725,0.37855,0.27151,0.26107,0.08877,2.13849,3.84573,1.61628,1.66682,0,0.0015644,0.0015644,0.0015644
46,832.408,1.90432,3.29649,1.33576,1.42555,0,0.38135,0.36047,0.31105,0.11996,0.37308,0.31395,0.28218,0.09296,2.15418,3.79562,1.59367,1.64744,0,0.0015545,0.0015545,0.0015545
47,846.411,1.87608,3.3113,1.37278,1.47837,0,0.38239,0.35659,0.29803,0.10843,0.34487,0.3062,0.24501,0.0821,2.30877,3.961,1.67692,1.73134,0,0.0015446,0.0015446,0.0015446
48,862.179,1.94854,3.35192,1.30425,1.44379,0,0.40071,0.31359,0.28648,0.1128,0.36123,0.27907,0.23469,0.07972,2.22978,3.983,1.70512,1.71588,0,0.0015347,0.0015347,0.0015347
49,878.083,1.99244,3.46483,1.43037,1.51872,0,0.2785,0.33721,0.2636,0.10501,0.32915,0.26357,0.22795,0.07682,2.19229,3.91514,1.70759,1.69144,0,0.0015248,0.0015248,0.0015248
50,896.321,1.91204,3.37052,1.33453,1.42792,0,0.28694,0.40085,0.28001,0.10458,0.31647,0.34884,0.25433,0.08198,2.21328,3.89787,1.7149,1.66703,0,0.0015149,0.0015149,0.0015149
51,978.052,1.93239,3.35923,1.32373,1.4481,0,0.40385,0.37984,0.31984,0.12255,0.40369,0.32946,0.2984,0.08843,2.19599,3.84592,1.71285,1.67232,0,0.001505,0.001505,0.001505
52,994.204,1.90288,3.36014,1.38296,1.46515,0,0.31821,0.39535,0.28347,0.11167,0.28759,0.34884,0.25364,0.082,2.19196,3.81218,1.6512,1.67799,0,0.0014951,0.0014951,0.0014951
53,1019.9,1.90821,3.39009,1.34192,1.45312,0,0.38534,0.37209,0.31446,0.12264,0.35701,0.32926,0.28497,0.09264,2.17376,3.77349,1.6244,1.67288,0,0.0014852,0.0014852,0.0014852
54,1034.61,1.86646,3.29225,1.33143,1.45348,0,0.42623,0.36047,0.33571,0.12965,0.4104,0.34109,0.29142,0.09122,2.20434,3.93293,1.62698,1.70499,0,0.0014753,0.0014753,0.0014753
55,1117.03,1.8866,3.3468,1.29927,1.42798,0,0.35826,0.37597,0.31221,0.12772,0.30391,0.36822,0.27068,0.09566,2.09116,3.74737,1.60682,1.61628,0,0.0014654,0.0014654,0.0014654
56,1132.3,1.90773,3.33713,1.30514,1.44316,0,0.31843,0.36047,0.28952,0.11,0.30447,0.34884,0.26234,0.08393,2.26545,3.93848,1.65541,1.7094,0,0.0014555,0.0014555,0.0014555
57,1145.87,1.90796,3.33165,1.31399,1.43561,0,0.33372,0.40698,0.30478,0.11062,0.29272,0.32946,0.23238,0.07731,2.18392,3.88055,1.64141,1.65059,0,0.0014456,0.0014456,0.0014456
58,1160.25,1.90035,3.30385,1.30181,1.41241,0,0.38933,0.44186,0.33661,0.12689,0.3595,0.40698,0.2897,0.09031,2.18868,3.88513,1.62626,1.67052,0,0.0014357,0.0014357,0.0014357
59,1173.3,2.00806,3.49481,1.37631,1.51361,0,0.40876,0.3876,0.34031,0.12594,0.37704,0.34884,0.29541,0.091,2.2562,3.90791,1.56749,1.71083,0,0.0014258,0.0014258,0.0014258
60,1188.57,1.87126,3.24273,1.29425,1.43261,0,0.343,0.37597,0.2952,0.11118,0.29432,0.33721,0.25447,0.084,2.16297,3.75788,1.66022,1.67419,0,0.0014159,0.0014159,0.0014159
61,1206.77,1.86217,3.27319,1.29218,1.41833,0,0.36111,0.37597,0.29549,0.11068,0.29988,0.35659,0.26489,0.08651,2.19604,3.84065,1.64381,1.65615,0,0.001406,0.001406,0.001406
62,1222.67,1.89381,3.33122,1.27742,1.42373,0,0.37863,0.3876,0.3195,0.124,0.39829,0.34884,0.29096,0.09322,2.15727,3.84753,1.62789,1.64622,0,0.0013961,0.0013961,0.0013961
63,1236.99,1.87021,3.28782,1.26973,1.42182,0,0.34531,0.39456,0.30163,0.1151,0.34952,0.35271,0.27969,0.08936,2.17607,3.79261,1.67448,1.66085,0,0.0013862,0.0013862,0.0013862
64,1285.58,1.87825,3.30556,1.29332,1.41285,0,0.38322,0.31008,0.28875,0.11087,0.3211,0.27907,0.24908,0.08468,2.24853,3.90878,1.66736,1.69725,0,0.0013763,0.0013763,0.0013763
65,1301.28,1.85534,3.32188,1.36683,1.48111,0,0.42855,0.35659,0.31401,0.12472,0.38305,0.31783,0.27719,0.09463,2.20341,3.90738,1.62359,1.70479,0,0.0013664,0.0013664,0.0013664
66,1315.62,1.83394,3.24909,1.31727,1.42839,0,0.36544,0.34884,0.29758,0.1109,0.31671,0.30233,0.24243,0.0757,2.19332,3.87695,1.62332,1.70828,0,0.0013565,0.0013565,0.0013565
67,1329.69,1.82937,3.19036,1.27997,1.36798,0,0.34258,0.34496,0.2891,0.10787,0.34704,0.28682,0.26652,0.07815,2.20969,3.94256,1.60477,1.70859,0,0.0013466,0.0013466,0.0013466
68,1343.98,1.85508,3.27329,1.26725,1.41179,0,0.3685,0.33721,0.30391,0.11588,0.37452,0.31008,0.28465,0.09341,2.23696,3.95342,1.69845,1.70526,0,0.0013367,0.0013367,0.0013367
69,1358.78,1.8706,3.2895,1.31252,1.43512,0,0.3496,0.34496,0.30717,0.1123,0.3221,0.31783,0.28041,0.09003,2.24527,3.91453,1.71515,1.68388,0,0.0013268,0.0013268,0.0013268
70,1374.26,1.8751,3.3421,1.29886,1.41572,0,0.36984,0.36434,0.30148,0.12218,0.33113,0.34496,0.26297,0.09362,2.21829,3.83128,1.62177,1.68807,0,0.0013169,0.0013169,0.0013169
71,1388.07,1.78568,3.19274,1.28275,1.3802,0,0.365,0.38372,0.28766,0.11108,0.33948,0.30679,0.25281,0.08351,2.24689,3.89162,1.66248,1.69827,0,0.001307,0.001307,0.001307
72,1401.4,1.86704,3.28697,1.25416,1.40843,0,0.38366,0.35659,0.31216,0.12492,0.33277,0.33721,0.26442,0.09064,2.22368,3.8678,1.58163,1.73884,0,0.0012971,0.0012971,0.0012971
