epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,750.255,2.34838,3.94279,1.73094,1.60946,0,0.43707,0.24468,0.25712,0.10495,0.43707,0.24468,0.23324,0.07654,2.25601,4.08672,1.92282,1.87143,0,0.00167528,0.00167528,0.00167528
84,758.301,2.35081,4.01046,1.68581,1.59562,0,0.39523,0.21277,0.25348,0.10416,0.41193,0.2234,0.23092,0.07601,2.29545,4.12426,1.98868,1.87298,0,0.00167132,0.00167132,0.00167132
85,767.198,2.32458,3.93,1.69068,1.55313,0,0.46385,0.19149,0.25438,0.11379,0.4621,0.19149,0.22904,0.07868,2.2509,4.08303,2.03662,1.87563,0,0.00166736,0.00166736,0.00166736
86,775.46,2.3206,3.97169,1.71634,1.59464,0,0.45248,0.25532,0.29349,0.13962,0.4703,0.24468,0.28215,0.09843,2.21663,4.02641,1.93478,1.83712,0,0.0016634,0.0016634,0.0016634
87,784.331,2.34866,3.99443,1.72714,1.5662,0,0.30977,0.32979,0.30645,0.14395,0.3454,0.31996,0.28816,0.09154,2.1783,4.00344,1.81784,1.80427,0,0.00165944,0.00165944,0.00165944
88,792.575,2.44765,4.09919,2.15634,1.62888,0,0.31901,0.32979,0.28098,0.1221,0.37056,0.30851,0.26392,0.07792,2.2424,3.99268,1.82094,1.84464,0,0.00165548,0.00165548,0.00165548
89,800.692,2.32203,3.94847,1.80087,1.62828,0,0.33999,0.2766,0.2267,0.10484,0.35093,0.2234,0.2031,0.07065,2.32932,4.02081,1.9162,1.87548,0,0.00165152,0.00165152,0.00165152
90,809.096,2.3586,4.00829,1.6336,1.5591,0,0.36671,0.29571,0.24209,0.09795,0.33498,0.23404,0.21411,0.06239,2.47323,4.13147,1.88403,1.9132,0,0.00164756,0.00164756,0.00164756
91,817.647,2.35755,3.98672,1.63681,1.54779,0,0.46932,0.31915,0.34277,0.12913,0.41166,0.29787,0.31125,0.08567,2.39487,4.10639,1.80062,1.86607,0,0.0016436,0.0016436,0.0016436
92,825.947,2.35342,4.00722,1.71294,1.54871,0,0.46932,0.31915,0.34277,0.12913,0.41166,0.29787,0.31125,0.08567,2.39487,4.10639,1.80062,1.86607,0,0.00163964,0.00163964,0.00163964
93,834.287,2.36394,4.00814,1.67337,1.55932,0,0.4583,0.37806,0.39949,0.15285,0.41725,0.34279,0.34226,0.09916,2.24247,4.07294,1.7289,1.8266,0,0.00163568,0.00163568,0.00163568
94,842.967,2.29434,3.93483,1.64697,1.552,0,0.34129,0.2766,0.26299,0.11367,0.41164,0.25532,0.2429,0.07382,2.20869,4.17859,1.81514,1.8484,0,0.00163172,0.00163172,0.00163172
95,851.129,2.30631,3.98951,1.68445,1.57902,0,0.43311,0.2845,0.25887,0.11064,0.41251,0.26895,0.23603,0.07121,2.2446,4.17918,1.85132,1.86866,0,0.00162776,0.00162776,0.00162776
